date,nav,cash,all_cash,trend_signal,vol,prob,close
2016-02-11,1084803.1563936579,1084803.1563936579,True,0.0,53.4330780217,0.0874509671294,3962.22
2016-02-12,1084803.1563936579,1084803.1563936579,True,0.0,47.5784497595,0.10368622282,4019.19
2016-02-16,1084803.1563936579,1084803.1563936579,True,0.0,53.2763278069,0.118615653999,4104.33
2016-02-17,1084803.1563936579,1084803.1563936579,True,0.0,56.6267000592,0.210221012655,4199.1
2016-02-18,1084803.1563936579,1084803.1563936579,True,0.0,48.9647662916,0.227204809474,4151.49
2016-02-19,1084803.1563936579,1084803.1563936579,True,0.0,46.0573124716,0.20615585387,4164.09
2016-02-22,1084803.1563936579,1084803.1563936579,True,0.0,50.0271380875,0.236549499764,4231.27
2016-02-23,1084803.1563936579,1084803.1563936579,True,0.0,50.3704521257,0.174241635454,4162.54
2016-02-24,1084803.1563936579,1084803.1563936579,True,0.0,60.4874785825,0.199442796634,4200.66
2016-02-25,1084803.1563936579,1084803.1563936579,True,0.0,49.2045821267,0.227561454263,4241.06
2016-02-26,1084803.1563936579,1084803.1563936579,True,0.0,44.8254319632,0.181382239269,4235.62
2016-02-29,1084803.1563936579,1084803.1563936579,True,0.0,48.0976661782,0.181809570178,4201.12
2016-03-01,1084803.1563936579,1084803.1563936579,True,0.0,58.1046115136,0.318176909316,4333.61
2016-03-02,1084803.1563936579,1084803.1563936579,True,0.0,41.5385462338,0.386547847489,4334.39
2016-03-03,1084803.1563936579,1084803.1563936579,True,0.0,42.3795000113,0.390314600768,4325.86
2016-03-04,1084803.1563936579,1084803.1563936579,True,0.0,46.1079017806,0.424699449767,4329.0
2016-03-07,1084803.1563936579,1084803.1563936579,True,0.0,46.9883367627,0.517824824563,4303.33
2016-03-08,1084803.1563936579,1084803.1563936579,True,0.0,45.0052698744,0.515226031396,4265.51
2016-03-09,1084803.1563936579,1084803.1563936579,True,0.0,41.6022386672,0.528653041245,4293.23
2016-03-10,1084803.1563936579,1084803.1563936579,True,0.0,57.0210733955,0.477974367671,4286.97
2016-03-11,1084803.1563936579,1084803.1563936579,False,0.0,50.5862115433,0.681720222307,4361.83
2016-03-14,1094926.2562825629,-5.8207660913467407e-11,False,0.0,40.579042676,0.607829816362,4367.33
2016-03-15,1094183.5089873646,-5.8207660913467407e-11,False,0.0,40.7391229688,0.735750617478,4367.08
2016-03-16,1099678.7411802604,-5.8207660913467407e-11,False,0.0,46.8346245858,0.759753346092,4404.2
2016-03-17,1099337.6508648149,-5.8207660913467407e-11,False,0.0,41.8217009358,0.765676629978,4400.26
2016-03-18,1109786.7432222804,-5.8207660913467407e-11,False,0.0,41.1065504517,0.768589629885,4410.83
2016-03-21,1117620.0833351945,-5.8207660913467407e-11,False,0.0,40.468644652,0.68685081037,4426.98
2016-03-22,1113430.3267916332,-5.8207660913467407e-11,False,0.0,44.8512197779,0.757396829079,4437.62
2016-03-23,1104259.2359219794,-5.8207660913467407e-11,False,0.0,43.3190674046,0.691578829893,4402.56
2016-03-24,1100214.2623837336,-5.8207660913467407e-11,False,0.0,40.7763601393,0.799500110448,4405.53
2016-03-28,1105736.2534423266,-5.8207660913467407e-11,False,0.0,39.3234433711,0.744279658058,4398.07
2016-03-29,1125557.8562702227,-5.8207660913467407e-11,False,0.0,53.4674992546,0.721683917571,4467.72
2016-03-30,1133906.1615997462,-5.8207660913467407e-11,False,0.0,45.08038996,0.73594436468,4490.88
2016-03-31,1135556.7089120587,-5.8207660913467407e-11,False,0.0,39.6380379639,0.823363057602,4483.66
2016-04-01,1142948.228039139,-5.8207660913467407e-11,False,0.0,52.2438170509,0.87135468061,4532.08
2016-04-04,1136035.6994829159,-5.8207660913467407e-11,False,0.0,40.4235942801,0.860816763612,4511.7
2016-04-05,1122996.0711997205,-5.8207660913467407e-11,False,0.0,44.2654684561,0.944743987548,4470.75
2016-04-06,1130566.7607937856,-5.8207660913467407e-11,False,0.0,50.3428265015,0.981925623565,4543.78
2016-04-07,1118841.2948844028,-5.8207660913467407e-11,False,0.0,52.6101808167,0.968726095206,4475.29
2016-04-08,1116073.273976906,0.0,False,0.0,46.2920575964,0.963615283598,4474.93
2016-04-11,1115112.1074274557,0.0,False,0.0,46.5554522111,0.960148624402,4458.71
2016-04-12,1113502.6869002343,0.0,False,0.0,49.0649054448,0.954213454795,4496.04
2016-04-13,1127191.6297484117,0.0,False,0.0,47.9682868377,0.94679304345,4554.72
2016-04-14,1125351.1685179831,0.0,False,0.0,39.8751635457,0.910290961626,4554.62
2016-04-15,1121205.3786817831,0.0,False,0.0,39.8683297691,0.935036812494,4543.16
2016-04-18,1121884.9158284932,0.0,False,0.0,42.4856569777,0.940076043002,4569.32
2016-04-19,1118895.2693701994,0.0,False,0.0,46.7438123908,0.888500640272,4540.96
2016-04-20,1127240.5297857001,0.0,False,0.0,42.2195542965,0.940627397178,4540.44
2016-04-21,1110580.4787578832,0.0,False,0.0,41.6970120442,0.92143453873,4540.8
2016-04-22,1109680.3480108182,0.0,False,0.0,56.4000816006,0.830589830758,4474.19
2016-04-25,1107451.0914715517,0.0,False,0.0,38.607455668,0.836222895581,4474.13
2016-04-26,1112544.8865212745,0.0,False,0.0,45.1564704623,0.852317111393,4452.97
2016-04-27,1114662.9528634013,0.0,False,0.0,49.9401273603,0.661034976814,4416.63
2016-04-28,1097535.1277143413,0.0,False,0.0,54.4328386955,0.563656712338,4363.99
2016-04-29,1088376.3345184291,0.0,False,0.0,48.4983223934,0.537878786844,4341.3
2016-05-02,1105705.7931169036,0.0,False,0.0,45.4570820202,0.602490709811,4381.3
2016-05-03,1096094.5939568665,0.0,False,0.0,45.2862868811,0.577546714065,4341.39
2016-05-04,1083169.6943375992,0.0,False,0.0,42.7366750302,0.593408092851,4312.01
2016-05-05,1075213.438937739,0.0,False,0.0,41.174203002,0.539338706232,4309.48
2016-05-06,1086541.2386046178,0.0,False,0.0,44.5448844846,0.587491765742,4330.17
2016-05-09,1086466.2898779926,0.0,False,0.0,40.8883288309,0.469777060597,4341.23
2016-05-10,1100081.29107695,0.0,False,0.0,47.9010120606,0.572413455992,4402.04
2016-05-11,1087411.0988213322,0.0,False,0.0,44.3530464421,0.49887508509,4361.03
2016-05-12,1089822.9252703702,0.0,True,0.0,48.3760198551,0.399329672022,4342.81
2016-05-13,1087133.1492319247,1087133.1492319247,True,0.0,43.9553274782,0.377868096921,4326.53
2016-05-16,1087133.1492319247,1087133.1492319247,True,0.0,49.3070673294,0.457007304573,4380.48
2016-05-17,1087133.1492319247,1087133.1492319247,True,0.0,50.3281464142,0.337005986187,4322.56
2016-05-18,1087133.1492319247,1087133.1492319247,True,0.0,46.0843642135,0.345602786587,4338.23
2016-05-19,1087133.1492319247,1087133.1492319247,True,0.0,45.753517688,0.363422906945,4315.58
2016-05-20,1087133.1492319247,1087133.1492319247,True,0.0,48.1543893054,0.439375567384,4362.9
2016-05-23,1087133.1492319247,1087133.1492319247,True,0.0,40.2077839793,0.438694233378,4355.1
2016-05-24,1087133.1492319247,1087133.1492319247,True,0.0,54.9398461778,0.47331254478,4444.3
2016-05-25,1087133.1492319247,1087133.1492319247,True,0.0,43.6297827589,0.487917297227,4476.43
2016-05-26,1087133.1492319247,1087133.1492319247,True,0.0,39.1963976521,0.517573097597,4487.96
2016-05-27,1087133.1492319247,1087133.1492319247,True,0.0,39.3724211826,0.479566147236,4512.54
2016-05-31,1087133.1492319247,1087133.1492319247,True,0.0,40.4396464426,0.53002875078,4523.89
2016-06-01,1087133.1492319247,1087133.1492319247,True,0.0,40.0933136977,0.589916600355,4520.07
2016-06-02,1087133.1492319247,1087133.1492319247,True,0.0,43.6521948998,0.488975491828,4531.35
2016-06-03,1087133.1492319247,1087133.1492319247,True,0.0,45.2631604017,0.57054841879,4509.79
2016-06-06,1087133.1492319247,1087133.1492319247,True,0.0,39.9584735583,0.594992481269,4523.63
2016-06-07,1087133.1492319247,1087133.1492319247,False,0.0,38.7452811897,0.605163753585,4513.09
2016-06-08,1084135.4746744831,-5.8207660913467407e-11,False,0.0,39.4076819666,0.553455421897,4520.63
2016-06-09,1091946.9758464952,-5.8207660913467407e-11,False,0.0,38.4155178287,0.431503458583,4512.69
2016-06-10,1075192.4599392819,-5.8207660913467407e-11,True,0.0,49.4146509201,0.343977929752,4461.05
